dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept
chua,chronos-bolt-base,chronos,64,336,0.0,0,0.03273848289129052,0.1048522176785257,0.08243093088839103,0.03090127371251583,64.0
chua,chronos-bolt-base,chronos,192,336,0.0,0,0.6417780670404356,0.4464056242114444,0.39358227682033314,0.525643527507782,168.2239990234375
chua,chronos-bolt-small,chronos_small,64,336,0.0,0,0.04527021526955173,0.1275187326224908,0.0996589165289154,0.042127933353185654,64.0
chua,chronos-bolt-small,chronos_small,192,336,0.0,0,0.7175703044913012,0.49171557876272987,0.4256786281221348,0.5901660919189453,167.24069213867188
chua,chronos-2,chronos2,64,336,0.0,0,0.008863870490904488,0.05094530631338173,0.04027328363890423,0.008316926658153534,64.0
chua,chronos-2,chronos2,192,336,0.0,0,0.3743864919365446,0.33350491650464775,0.26534138034941485,0.2844668924808502,175.899658203125
chua_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,0.06034043412971755,0.14517245143201965,0.11344059909108414,0.0562402717769146,64.0
chua_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,1.2112459080740898,0.622727519033029,0.5502831608207343,1.0060840845108032,159.0496826171875
chua_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,0.07897643284240043,0.17004535869299267,0.13135627166240146,0.07274523377418518,64.0
chua_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,1.408824207424389,0.688013392570251,0.5956301777053324,1.1567238569259644,157.3810577392578
chua_param_shock,chronos-2,chronos2,64,336,0.0,0,0.018872052756967638,0.07426678010924066,0.05861088955334797,0.01778455078601837,64.0
chua_param_shock,chronos-2,chronos2,192,336,0.0,0,0.6815822775246596,0.45006472011767124,0.35461416658390266,0.5361157059669495,166.52684020996094
chua_switch,chronos-bolt-base,chronos,64,336,0.0,0,0.03909062480201551,0.11417337920309963,0.09022389327251659,0.03676958382129669,64.0
chua_switch,chronos-bolt-base,chronos,192,336,0.0,0,0.7770558904919616,0.4841922200432559,0.4304857570734568,0.6447914242744446,167.41619873046875
chua_switch,chronos-bolt-small,chronos_small,64,336,0.0,0,0.048723322022126314,0.13454400352248422,0.10452907851234887,0.0451621375977993,63.99937438964844
chua_switch,chronos-bolt-small,chronos_small,192,336,0.0,0,0.8262171797885655,0.5146395570911071,0.4467629437064197,0.6785764694213867,166.46632385253906
chua_switch,chronos-2,chronos2,64,336,0.0,0,0.010753232346814485,0.055193220093065806,0.04406982953510352,0.010048853233456612,64.0
chua_switch,chronos-2,chronos2,192,336,0.0,0,0.42097651893380417,0.3489625547826775,0.27837184128638515,0.3270840346813202,175.69866943359375
chua,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.011150034638161487,0.039108458303181215,0.03371820846504824,0.010823960416018963,64.0
chua,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,0.3957910772543536,0.33491870700681564,0.2691018494820518,0.3024410009384155,174.904541015625
chua_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.017507874374772987,0.0579028085881219,0.04891755538316616,0.016900328919291496,63.994895935058594
