dataset,model,seed,pred_len,sigma,ad_stat,ad_pval,n_rejected,n_directions,fdr_q,n_samples,cov_50%,cov_80%,cov_90%,cov_95%,rejected_ch0,median_p_ch0,rejected_ch1,rejected_ch2,median_p_ch1,median_p_ch2
doublewell_ode0,fern,42,192,0.0,0.3306989545777128,0.5114440868652594,90,192,0.05,1974,0.5423289218169537,0.8288479398851739,0.9141179078014184,0.9549033265788585,90,0.026990384008373496,,,,
doublewell_ode0,fern,42,192,1.0,0.3438004272551609,0.4849694157962683,0,192,0.05,1974,0.27855084853090173,0.5015698877068558,0.6151743498817966,0.6992359000337723,0,0.5585934513734448,,,,
doublewell_ode0,fern,42,192,2.0,0.36927803071563403,0.42384343925284906,1,192,0.05,1974,0.14496000084430935,0.27049297112462006,0.34222232776089156,0.40268543144208035,1,0.5147739694516538,,,,
doublewell_ode0,fern,42,192,0.25,8.963483028764557,8.014971998884564e-22,11,192,0.05,1974,0.5157780310705843,0.811864129517055,0.9061919537318474,0.9527318684566025,11,0.29947619082957255,,,,
doublewell_ode1,fern,42,192,0.0,14.489533569580686,0.0,133,192,0.05,1974,0.5172318262411347,0.7994897205336036,0.8914059861533266,0.9382677938196555,133,0.0020559460873856928,,,,
doublewell_ode1,fern,42,192,1.0,8.082226609977567,9.445797387804371e-20,84,192,0.05,1974,0.265912592874029,0.4824990501519757,0.5930481678486997,0.6752337681526511,84,0.07859183191856955,,,,
doublewell_ode1,fern,42,192,2.0,11.969983935731278,8.560201922422915e-29,23,192,0.05,1974,0.1418466100979399,0.266648725092874,0.3382540737926376,0.39747973657548125,23,0.4061951413723668,,,,
doublewell_ode1,fern,42,192,0.25,29.13742412799928,0.0,24,192,0.05,1974,0.5050896023302939,0.8005081686930091,0.8970074510300574,0.9450196301925026,24,0.3096920574517591,,,,
doublewell_ode2,fern,42,192,0.0,4.282012329995382,1.1278490885547498e-10,167,192,0.05,1974,0.5459858367105708,0.8351248522458629,0.9177669072948328,0.9554283814589666,167,4.37131274377964e-7,,,,
doublewell_ode2,fern,42,192,1.0,16.138940177624534,0.0,38,192,0.05,1974,0.2670392181695373,0.4820584262073624,0.5925336668355285,0.6753155606214117,38,0.2680666979003017,,,,
doublewell_ode2,fern,42,192,2.0,2.1635186980471133,0.000016386135479025573,9,192,0.05,1974,0.14176745609591354,0.2644904593042891,0.33467895136778114,0.3939046141506248,9,0.4572779609642924,,,,
doublewell_ode2,fern,42,192,0.25,4.124217486779884,2.7179250697524975e-10,161,192,0.05,1974,0.541009688449848,0.8315919452887538,0.915772226443769,0.9543518870314083,161,0.000018718035708108216,,,,
doublewell_param_shock_ode0,fern,42,192,0.0,3.0492917001868705,1.1147680358430471e-7,151,192,0.05,1974,0.4962269925700777,0.7707858409321175,0.8579739741641338,0.9042368498817966,151,0.00001340359558037813,,,,
doublewell_param_shock_ode0,fern,42,192,1.0,4.610024458794271,1.8176216072638464e-11,18,192,0.05,1974,0.24254896994258696,0.44181125464370147,0.5461546985815603,0.6268812267814927,18,0.3779762249365619,,,,
doublewell_param_shock_ode0,fern,42,192,2.0,0.49307432527075434,0.21465748093134351,1,192,0.05,1974,0.13643511482607226,0.2566594900371496,0.32529656366092535,0.3828547154677474,1,0.47172563563503067,,,,
doublewell_param_shock_ode0,fern,42,192,0.25,1.7131366376690096,0.00020958601506600215,149,192,0.05,1974,0.5054220491388045,0.7874978892266127,0.8735963356973995,0.9173737757514353,149,0.00002319652975898465,,,,
doublewell_param_shock_ode1,fern,42,192,0.0,22.10645033932451,0.0,37,192,0.05,1974,0.4703462723741979,0.7565908899020601,0.8565492021276596,0.9102235309017224,37,0.3333669827489869,,,,
doublewell_param_shock_ode1,fern,42,192,1.0,4.895050713720565,3.733085431097389e-12,16,192,0.05,1974,0.2504379854778791,0.45536241979061126,0.5614789133738601,0.6433716438703141,16,0.3524189639144568,,,,
doublewell_param_shock_ode1,fern,42,192,2.0,0.7240209494937346,0.05805837186191909,0,192,0.05,1974,0.13741662445119893,0.25916339496791624,0.32830177727119214,0.3860472602161432,0,0.44737890480777437,,,,
doublewell_param_shock_ode1,fern,42,192,0.25,17.15688970047762,0.0,40,192,0.05,1974,0.47900044326241137,0.7684164978047957,0.8687283645727795,0.9208011440391759,40,0.3161946072035878,,,,
doublewell_param_shock_ode2,fern,42,192,0.0,8.07606999990054,9.76683444849478e-20,130,192,0.05,1974,0.47619839159067884,0.7571238601823708,0.8526627406281662,0.9039677262749072,130,0.004373731006692427,,,,
