dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
chua_ode0,fern,64,336,1955,246.8817093372345,0.0008842847892083228,0.022394055500626564,0.0006190831772983074,64.0,0.024773309007287025,-1.481178641319275,chua,crps,0.0,
chua_ode0,fern,64,336,7,441.9383430480957,0.0006153594586066902,0.019599365070462227,0.00042903321445919573,64.0,0.023241788148880005,-1.5210649967193604,chua,crps,0.0,
chua_ode0,fern,192,336,1955,285.02589225769043,0.007474884390830994,0.04665914177894592,0.0058297049254179,190.218505859375,0.037627071142196655,-1.263641119003296,chua,crps,0.0,
chua_ode0,fern,192,336,7,152.54698252677917,0.014096939004957676,0.06494880467653275,0.011619861237704754,189.32810974121094,0.05090382695198059,-0.9928959012031555,chua,crps,0.0,
chua_param_shock_ode0,fern,64,336,1955,226.34438490867615,0.0024730341974645853,0.03624067083001137,0.002016023499891162,64.0,0.03142433241009712,-1.3518930673599243,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,64,336,7,314.1282901763916,0.001662397407926619,0.03015083819627762,0.0013915733434259892,64.0,0.02782444842159748,-1.4349461793899536,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,192,336,1955,340.898042678833,0.00367921544238925,0.043002109974622726,0.0027126003988087177,191.19625854492188,0.03491004556417465,-1.297303318977356,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,192,336,7,170.04167413711548,0.009992804378271103,0.06989375501871109,0.007190476171672344,189.81552124023438,0.05261748656630516,-0.9376776218414307,chua_param_shock,crps,0.0,
chua_switch_ode0,fern,64,336,1955,350.3430001735687,0.002483921591192484,0.029283888638019562,0.0021770219318568707,64.0,0.028792651370167732,-1.3814841508865356,chua_switch,crps,0.0,
chua_switch_ode0,fern,64,336,7,238.31483459472656,0.002718510804697871,0.03170875087380409,0.002303902292624116,64.0,0.030371805652976036,-1.3500165939331055,chua_switch,crps,0.0,
chua_switch_ode0,fern,192,336,1955,263.3817265033722,0.01118767075240612,0.05385595187544823,0.009257298894226551,191.74876403808594,0.045128803700208664,-0.8395296931266785,chua_switch,crps,0.0,
chua_switch_ode0,fern,192,336,7,199.99152326583862,0.024686632677912712,0.07201531529426575,0.01901390217244625,191.0320281982422,0.05728805810213089,-0.6029528379440308,chua_switch,crps,0.0,
doublewell_ode0,fern,64,336,1955,106.84463453292847,0.04868564009666443,0.171960711479187,0.03406475856900215,64.0,0.12484512478113174,0.027393387630581856,doublewell,crps,0.0,
doublewell_ode0,fern,64,336,7,112.4684545993805,0.04828722029924393,0.1712701916694641,0.03624914214015007,64.0,0.12409414350986481,0.008606091141700745,doublewell,crps,0.0,
doublewell_ode0,fern,64,336,20,222.11529850959778,0.04808654636144638,0.17108748853206635,0.03640105202794075,64.0,0.12409379333257675,0.017413252964615822,doublewell,crps,0.0,
doublewell_ode0,fern,192,336,1955,144.79849934577942,0.04766811802983284,0.1706770658493042,0.035660840570926666,192.00001525878906,0.12309636920690536,-0.029043229296803474,doublewell,crps,0.0,
doublewell_ode0,fern,192,336,7,144.06905841827393,0.0478421188890934,0.17040707170963287,0.03522735461592674,192.00001525878906,0.12311379611492157,-0.022396184504032135,doublewell,crps,0.0,
doublewell_ode0,fern,192,336,20,124.66954469680786,0.04802965000271797,0.1706455796957016,0.034535907208919525,192.00001525878906,0.1233532652258873,-0.016041137278079987,doublewell,crps,0.0,
doublewell_param_shock_ode0,fern,64,336,1955,104.04518795013428,0.6140499114990234,0.5697729587554932,0.5519678592681885,44.549888610839844,0.4404571056365967,2.8075876235961914,doublewell_param_shock,crps,0.0,
