dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
chua_ode0,fern,64,336,1955,246.8817093372345,0.0008842847892083228,0.022394055500626564,0.0006190831772983074,64.0,0.024773309007287025,-1.481178641319275,chua,crps,0.0,
chua_ode0,fern,64,336,7,441.9383430480957,0.0006153594586066902,0.019599365070462227,0.00042903321445919573,64.0,0.023241788148880005,-1.5210649967193604,chua,crps,0.0,
chua_ode0,fern,192,336,1955,285.02589225769043,0.007474884390830994,0.04665914177894592,0.0058297049254179,190.218505859375,0.037627071142196655,-1.263641119003296,chua,crps,0.0,
chua_ode0,fern,192,336,7,152.54698252677917,0.014096939004957676,0.06494880467653275,0.011619861237704754,189.32810974121094,0.05090382695198059,-0.9928959012031555,chua,crps,0.0,
chua_param_shock_ode0,fern,64,336,1955,226.34438490867615,0.0024730341974645853,0.03624067083001137,0.002016023499891162,64.0,0.03142433241009712,-1.3518930673599243,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,64,336,7,314.1282901763916,0.001662397407926619,0.03015083819627762,0.0013915733434259892,64.0,0.02782444842159748,-1.4349461793899536,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,192,336,1955,340.898042678833,0.00367921544238925,0.043002109974622726,0.0027126003988087177,191.19625854492188,0.03491004556417465,-1.297303318977356,chua_param_shock,crps,0.0,
chua_param_shock_ode0,fern,192,336,7,170.04167413711548,0.009992804378271103,0.06989375501871109,0.007190476171672344,189.81552124023438,0.05261748656630516,-0.9376776218414307,chua_param_shock,crps,0.0,
chua_switch_ode0,fern,64,336,1955,350.3430001735687,0.002483921591192484,0.029283888638019562,0.0021770219318568707,64.0,0.028792651370167732,-1.3814841508865356,chua_switch,crps,0.0,
chua_switch_ode0,fern,64,336,7,238.31483459472656,0.002718510804697871,0.03170875087380409,0.002303902292624116,64.0,0.030371805652976036,-1.3500165939331055,chua_switch,crps,0.0,
chua_switch_ode0,fern,192,336,1955,263.3817265033722,0.01118767075240612,0.05385595187544823,0.009257298894226551,191.74876403808594,0.045128803700208664,-0.8395296931266785,chua_switch,crps,0.0,
chua_switch_ode0,fern,192,336,7,199.99152326583862,0.024686632677912712,0.07201531529426575,0.01901390217244625,191.0320281982422,0.05728805810213089,-0.6029528379440308,chua_switch,crps,0.0,
chua_ode0,fern,64,336,1955,342.5929651260376,0.0038533166516572237,0.04579375684261322,0.003335388610139489,63.97626876831055,0.04150443151593208,-1.0410643815994263,chua,fern_nll,0.0,-2.3618366718292236
chua_ode0,fern,64,336,7,287.2430944442749,0.00736222043633461,0.06747423857450485,0.006798046641051769,63.82518005371094,0.05096665024757385,-0.9275416731834412,chua,fern_nll,0.0,-2.342237949371338
chua_ode0,fern,192,336,1955,809.1550016403198,0.00624600425362587,0.05873531475663185,0.00510228518396616,190.43202209472656,0.04640098288655281,-0.9909939765930176,chua,fern_nll,0.0,-2.3670527935028076
chua_ode0,fern,192,336,7,410.4749653339386,0.017839917913079262,0.07645701617002487,0.014186112210154533,184.00384521484375,0.06001850590109825,-0.6123536229133606,chua,fern_nll,0.0,-2.3217971324920654
chua_param_shock_ode0,fern,64,336,1955,262.7463526725769,0.009961565025150776,0.0677415058016777,0.008696514181792736,63.655372619628906,0.05406681448221207,-0.861789882183075,chua_param_shock,fern_nll,0.0,-2.310391664505005
chua_param_shock_ode0,fern,64,336,7,441.9172134399414,0.005831808317452669,0.0558323860168457,0.005188100039958954,63.857276916503906,0.04541173577308655,-0.9816365242004395,chua_param_shock,fern_nll,0.0,-2.3342792987823486
