dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
chua_ode0,fern,64,336,1955,342.5929651260376,0.0038533166516572237,0.04579375684261322,0.003335388610139489,63.97626876831055,0.04150443151593208,-1.0410643815994263,chua,fern_nll,0.0,-2.3618366718292236
chua_ode0,fern,64,336,7,287.2430944442749,0.00736222043633461,0.06747423857450485,0.006798046641051769,63.82518005371094,0.05096665024757385,-0.9275416731834412,chua,fern_nll,0.0,-2.342237949371338
chua_ode0,fern,192,336,1955,809.1550016403198,0.00624600425362587,0.05873531475663185,0.00510228518396616,190.43202209472656,0.04640098288655281,-0.9909939765930176,chua,fern_nll,0.0,-2.3670527935028076
chua_ode0,fern,192,336,7,410.4749653339386,0.017839917913079262,0.07645701617002487,0.014186112210154533,184.00384521484375,0.06001850590109825,-0.6123536229133606,chua,fern_nll,0.0,-2.3217971324920654
chua_param_shock_ode0,fern,64,336,1955,262.7463526725769,0.009961565025150776,0.0677415058016777,0.008696514181792736,63.655372619628906,0.05406681448221207,-0.861789882183075,chua_param_shock,fern_nll,0.0,-2.310391664505005
chua_param_shock_ode0,fern,64,336,7,441.9172134399414,0.005831808317452669,0.0558323860168457,0.005188100039958954,63.857276916503906,0.04541173577308655,-0.9816365242004395,chua_param_shock,fern_nll,0.0,-2.3342792987823486
chua_param_shock_ode0,fern,192,336,1955,884.312933921814,0.006204287987202406,0.061214447021484375,0.004631343297660351,188.7723388671875,0.04821378365159035,-0.9618082642555237,chua_param_shock,fern_nll,0.0,-2.3585474491119385
chua_param_shock_ode0,fern,192,336,7,626.7642014026642,0.010138492099940777,0.07168745994567871,0.0079946992918849,189.0450439453125,0.05581410229206085,-0.8464707732200623,chua_param_shock,fern_nll,0.0,-2.347811222076416
chua_switch_ode0,fern,64,336,1955,448.11455512046814,0.005402829963713884,0.05598371475934982,0.004892420023679733,63.98854064941406,0.04538467898964882,-0.9920562505722046,chua_switch,fern_nll,0.0,-2.351436138153076
chua_switch_ode0,fern,64,336,7,375.2725055217743,0.0031658245716243982,0.03954248130321503,0.002649603644385934,63.984718322753906,0.039265163242816925,-1.0675885677337646,chua_switch,fern_nll,0.0,-2.358956813812256
chua_switch_ode0,fern,192,336,1955,532.7147614955902,0.010307056829333305,0.07098865509033203,0.008098875172436237,188.9217529296875,0.05561370775103569,-0.8351263999938965,chua_switch,fern_nll,0.0,-2.3509466648101807
chua_switch_ode0,fern,192,336,7,431.2912483215332,0.027245867997407913,0.09470877796411514,0.02307800203561783,187.68055725097656,0.07561337947845459,-0.2729513645172119,chua_switch,fern_nll,0.0,-2.320692539215088
doublewell_ode0,fern,64,336,1955,106.30600094795227,0.05584663897752762,0.1881888508796692,0.02721911109983921,64.0,0.13551297783851624,-0.004386900458484888,doublewell,fern_nll,0.0,-0.9487617611885071
doublewell_ode0,fern,64,336,7,141.6404435634613,0.05657642334699631,0.18534722924232483,0.02088853530585766,63.99039077758789,0.13504257798194885,0.0016238718526437879,doublewell,fern_nll,0.0,-0.9261934757232666
doublewell_ode0,fern,192,336,1955,133.16575598716736,0.058801647275686264,0.19361910223960876,0.030275067314505577,191.914794921875,0.13907699286937714,0.01859550178050995,doublewell,fern_nll,0.0,-0.9528576135635376
doublewell_ode0,fern,192,336,7,158.30637121200562,0.06672939658164978,0.2086532711982727,0.03389694541692734,192.00001525878906,0.14873746037483215,0.08224119991064072,doublewell,fern_nll,0.0,-0.9382845759391785
doublewell_param_shock_ode0,fern,64,336,1955,122.06383180618286,0.5974901914596558,0.5549048781394958,0.5162469148635864,45.03825759887695,0.45267432928085327,3.2403810024261475,doublewell_param_shock,fern_nll,0.0,0.16155661642551422
doublewell_param_shock_ode0,fern,64,336,7,133.6261703968048,0.6504003405570984,0.5963300466537476,0.5624351501464844,42.832454681396484,0.48464128375053406,3.341364622116089,doublewell_param_shock,fern_nll,0.0,0.2898689806461334
doublewell_param_shock_ode0,fern,192,336,1955,120.86755037307739,0.715327262878418,0.6851683855056763,0.5802510976791382,71.61520385742188,0.5530931353569031,3.527998447418213,doublewell_param_shock,fern_nll,0.0,0.33343228697776794
doublewell_param_shock_ode0,fern,192,336,7,145.75811100006104,0.822221040725708,0.7305132746696472,0.6809964776039124,63.14372253417969,0.5964989066123962,4.008864879608154,doublewell_param_shock,fern_nll,0.0,0.5116291046142578
doublewell_switch_ode0,fern,64,336,1955,147.4269301891327,0.36503323912620544,0.4218612313270569,0.2929377257823944,53.95377731323242,0.3281671404838562,1.7621933221817017,doublewell_switch,fern_nll,0.0,-0.22664877772331238
doublewell_switch_ode0,fern,64,336,7,147.67791056632996,0.35048872232437134,0.40462544560432434,0.279167115688324,54.87506103515625,0.31584057211875916,1.696658730506897,doublewell_switch,fern_nll,0.0,-0.2590639591217041
doublewell_switch_ode0,fern,192,336,1955,110.63453459739685,0.6240935921669006,0.6060329675674438,0.5283507108688354,108.3343505859375,0.48615238070487976,2.9331774711608887,doublewell_switch,fern_nll,0.0,0.21564020216464996
doublewell_switch_ode0,fern,192,336,7,134.45032620429993,0.6800658106803894,0.6512417197227478,0.5678265690803528,91.88037109375,0.5228139162063599,3.2196474075317383,doublewell_switch,fern_nll,0.0,0.3017401099205017
lorenz96_ode0,fern,64,336,1955,1641.87335562706,0.36947882175445557,0.3252861201763153,0.31528207659721375,63.7318115234375,0.2707335650920868,5.386427402496338,lorenz96,fern_nll,0.0,-1.5728486776351929
lorenz96_ode0,fern,64,336,7,1081.0342280864716,0.5018354654312134,0.387617826461792,0.4299335777759552,63.60578918457031,0.3190855085849762,4.260977268218994,lorenz96,fern_nll,0.0,-1.1253780126571655
lorenz96_ode0,fern,192,336,1955,1962.8856723308563,2.3131916522979736,0.9452340602874756,1.0607848167419434,175.522705078125,0.8243970274925232,12.04078197479248,lorenz96,fern_nll,0.0,2.070056676864624
lorenz96_ode0,fern,192,336,7,2214.3200056552887,2.272848606109619,0.9347100853919983,1.0466607809066772,176.70884704589844,0.8216503262519836,14.413727760314941,lorenz96,fern_nll,0.0,1.9084447622299194
lorenz96_switch_ode0,fern,64,336,1955,1081.2083406448364,1.5679417848587036,0.70365971326828,1.2487059831619263,62.17927551269531,0.6176875233650208,14.369351387023926,lorenz96_switch,fern_nll,0.0,0.6684688329696655
