dataset,model,seed,pred_len,sigma,pit_00,pit_01,pit_02,pit_03,pit_04,pit_05,pit_06,pit_07,pit_08,pit_09,pit_10,pit_11,pit_12,pit_13,pit_14,pit_15,pit_16,pit_17,pit_18,pit_19,pit_total
doublewell_ode0,fern,42,192,0.0,14627,16250,17387,18033,19057,19369,20245,20548,21088,21200,21339,21135,20637,20353,19633,18844,18278,16994,16068,17923,379008
doublewell_ode0,fern,42,192,1.0,71507,21305,16065,13688,12283,11435,10711,10454,10028,9983,9892,10151,10521,10887,11511,12359,13899,16232,21752,74345,379008
doublewell_ode0,fern,42,192,2.0,124403,13644,9468,7535,6658,6098,5769,5453,5093,5156,5193,5087,5343,5725,6024,6643,7666,9608,13542,124900,379008
doublewell_ode0,fern,42,192,0.25,16998,17746,18405,18703,19096,19160,19494,19776,19649,19945,19594,19599,19651,19470,19146,18973,18463,18579,18005,18556,379008
doublewell_ode1,fern,42,192,0.0,21467,17622,17593,17911,18278,18638,19061,19954,20174,20256,20340,19919,19956,19082,18655,18075,17668,17453,17215,19691,379008
doublewell_ode1,fern,42,192,1.0,79904,21346,15885,13394,11987,10979,10275,9776,9683,9528,9692,9880,9965,10248,10757,11887,13216,15719,20553,74334,379008
doublewell_ode1,fern,42,192,2.0,125869,13601,9472,7515,6534,6017,5526,5265,5086,4999,5060,5055,5231,5500,6022,6740,7568,9472,13538,124938,379008
doublewell_ode1,fern,42,192,0.25,20494,18768,18844,18922,19034,19325,19165,18978,19324,19351,19398,18957,19051,18930,18954,18629,18471,18066,17806,18541,379008
doublewell_ode2,fern,42,192,0.0,15058,14912,16338,17536,18488,19115,19833,20371,20818,21135,21317,21153,21254,21108,20829,20208,18835,18181,16410,16109,379008
doublewell_ode2,fern,42,192,1.0,79384,21131,15795,13254,12136,11068,10290,9952,9705,9426,9476,9790,10012,10557,10934,11671,13052,15586,20740,75049,379008
doublewell_ode2,fern,42,192,2.0,127628,13354,9316,7558,6410,5993,5514,5234,5082,4985,5081,5012,5286,5518,6026,6450,7465,9314,13248,124534,379008
doublewell_ode2,fern,42,192,0.25,16624,16145,17504,18804,19532,20020,20193,20667,20930,20861,21191,20731,20408,20348,19698,19155,18272,16866,15760,15299,379008
doublewell_param_shock_ode0,fern,42,192,0.0,26717,16784,16938,17640,18397,18872,18972,19166,19378,19065,19206,18955,18278,18295,17887,17430,17120,16535,16261,27112,379008
doublewell_param_shock_ode0,fern,42,192,1.0,86658,19713,14561,12104,10769,9942,9438,9120,8746,8639,8767,8829,8960,9470,10017,10856,12482,14750,19834,85353,379008
doublewell_param_shock_ode0,fern,42,192,2.0,127337,13010,9081,7495,6300,5700,5261,5146,4908,4855,4835,4889,5042,5333,5741,6263,7345,9082,13004,128381,379008
doublewell_param_shock_ode0,fern,42,192,0.25,23507,16337,17066,17879,18450,18631,19375,19447,19356,19371,19495,19323,19146,18651,18764,18637,17746,17131,16295,24401,379008
doublewell_param_shock_ode1,fern,42,192,0.0,27420,19257,18688,18003,18142,18057,17901,17755,17901,17795,17858,17865,17753,17830,17550,17772,17882,18002,18628,26949,379008
doublewell_param_shock_ode1,fern,42,192,1.0,82731,20034,15066,12409,11210,10278,9651,9358,9138,9206,8800,9213,9299,9828,10147,11230,12774,14979,20185,83472,379008
doublewell_param_shock_ode1,fern,42,192,2.0,126290,13015,9236,7382,6386,5824,5425,5115,4905,4953,4938,4861,5089,5314,5658,6442,7335,9362,13189,128289,379008
doublewell_param_shock_ode1,fern,42,192,0.25,24809,19012,18377,17930,17962,18221,17806,17995,18124,18274,18076,18208,18289,18329,18223,18488,18351,18583,19007,24944,379008
doublewell_param_shock_ode2,fern,42,192,0.0,27188,18488,17898,17792,17976,18138,18097,18280,18232,18009,18104,17992,18057,17782,17792,17919,17541,17347,17722,28654,379008
doublewell_param_shock_ode2,fern,42,192,1.0,82432,20114,14982,12738,11191,10302,9405,9414,9133,9032,8926,9167,9446,9576,10320,11183,12474,14853,19972,84348,379008
doublewell_param_shock_ode2,fern,42,192,2.0,128389,13310,9051,7455,6321,5701,5379,5112,5075,4755,4750,4827,5028,5349,5729,6400,7444,9278,13047,126608,379008
