dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,fern_nll,experiment,eval_tag,sigma
doublewell_ode0,fern,192,336,42,221.926362991333,0.06973247230052948,0.2141064703464508,0.03623579442501068,192.00001525878906,0.15078119933605194,0.09314689040184021,-0.9383794069290161,doublewell,fern_nll,0.0
doublewell_ode0,fern,192,336,42,172.22687911987305,0.12431275844573975,0.281253457069397,0.07727596163749695,172.6205596923828,0.19966848194599152,0.3808385133743286,-0.5587149262428284,doublewell,fern_nll,0.25
doublewell_ode0,fern,192,336,42,159.82764554023743,1.0848748683929443,0.8306209444999695,0.8567944765090942,2.9499831199645996,0.6318712830543518,2.1853299140930176,1.1981306076049805,doublewell,fern_nll,1.0
doublewell_ode0,fern,192,336,42,143.67715764045715,4.145975589752197,1.6247042417526245,3.4670298099517822,0.7740228772163391,1.3766741752624512,7.49817419052124,6.2667155265808105,doublewell,fern_nll,2.0
doublewell_ode1,fern,192,336,42,169.89662957191467,0.33544012904167175,0.31529319286346436,0.2960275411605835,176.77593994140625,0.252069890499115,2.0122904777526855,-0.41924047470092773,doublewell,fern_nll,0.0
doublewell_ode1,fern,192,336,42,171.84350514411926,0.4073600769042969,0.39354443550109863,0.3440746068954468,143.92091369628906,0.30491402745246887,1.4829775094985962,-0.059582069516181946,doublewell,fern_nll,0.25
doublewell_ode1,fern,192,336,42,184.86899495124817,1.393070936203003,0.9177715182304382,1.1560766696929932,2.5647025108337402,0.713646411895752,2.7170021533966064,1.7068372964859009,doublewell,fern_nll,1.0
doublewell_ode1,fern,192,336,42,217.87076473236084,4.451034069061279,1.6797758340835571,3.837458610534668,0.7306442260742188,1.430640697479248,8.011323928833008,6.7627668380737305,doublewell,fern_nll,2.0
doublewell_ode2,fern,192,336,42,171.32728266716003,0.2806667387485504,0.333946168422699,0.21277925372123718,63.67432403564453,0.25783535838127136,1.044307827949524,-0.5339000225067139,doublewell,fern_nll,0.0
doublewell_ode2,fern,192,336,42,108.53705477714539,0.3577320873737335,0.41248995065689087,0.23072580993175507,6.899168014526367,0.30604317784309387,0.8786535859107971,-0.13212810456752777,doublewell,fern_nll,0.25
doublewell_ode2,fern,192,336,42,252.3298728466034,1.3134952783584595,0.9087771773338318,0.9230512380599976,0.6812166571617126,0.7030661702156067,2.5798864364624023,1.574705958366394,doublewell,fern_nll,1.0
doublewell_ode2,fern,192,336,42,183.03669214248657,4.374322891235352,1.668931007385254,3.4878053665161133,0.2563368082046509,1.4206337928771973,7.912820816040039,6.669793605804443,doublewell,fern_nll,2.0
doublewell_param_shock_ode0,fern,192,336,42,99.99735856056213,0.6398880481719971,0.686922013759613,0.5693137049674988,57.8095588684082,0.5285292267799377,2.4487836360931396,0.31205472350120544,doublewell_param_shock,fern_nll,0.0
doublewell_param_shock_ode0,fern,192,336,42,97.60068869590759,0.6793451309204102,0.680652916431427,0.5748550891876221,29.388389587402344,0.5060341954231262,1.7552381753921509,0.49234476685523987,doublewell_param_shock,fern_nll,0.25
doublewell_param_shock_ode0,fern,192,336,42,99.15527749061584,1.6680492162704468,1.0303955078125,1.301227331161499,1.6643229722976685,0.8128594160079956,3.2009310722351074,2.16725754737854,doublewell_param_shock,fern_nll,1.0
doublewell_param_shock_ode0,fern,192,336,42,99.45143175125122,4.690998077392578,1.7302533388137817,3.673560380935669,0.6058322191238403,1.4775737524032593,8.434572219848633,7.167788505554199,doublewell_param_shock,fern_nll,2.0
doublewell_param_shock_ode1,fern,192,336,42,214.84130549430847,0.7223017811775208,0.6897532939910889,0.6124083995819092,86.0224380493164,0.5561423897743225,3.506502866744995,0.35283389687538147,doublewell_param_shock,fern_nll,0.0
doublewell_param_shock_ode1,fern,192,336,42,158.1193563938141,0.6943036913871765,0.6526523232460022,0.5673335194587708,54.97871017456055,0.5060365200042725,2.1969358921051025,0.47226694226264954,doublewell_param_shock,fern_nll,0.25
doublewell_param_shock_ode1,fern,192,336,42,134.77471446990967,1.5608484745025635,0.9968396425247192,1.2479722499847412,1.951087236404419,0.7815973162651062,3.008774757385254,1.9847862720489502,doublewell_param_shock,fern_nll,1.0
doublewell_param_shock_ode1,fern,192,336,42,147.122403383255,4.581276893615723,1.7071019411087036,3.8968191146850586,0.6190069913864136,1.4567731618881226,8.243602752685547,6.97779655456543,doublewell_param_shock,fern_nll,2.0
doublewell_param_shock_ode2,fern,192,336,42,133.24354028701782,0.4983198642730713,0.5830175876617432,0.4113304615020752,61.11628723144531,0.45116135478019714,2.279587984085083,0.017926137894392014,doublewell_param_shock,fern_nll,0.0
doublewell_param_shock_ode2,fern,192,336,42,158.8352792263031,0.604438066482544,0.6286415457725525,0.4319758415222168,29.755388259887695,0.4748670160770416,1.8207101821899414,0.3352370858192444,doublewell_param_shock,fern_nll,0.25
doublewell_param_shock_ode2,fern,192,336,42,104.61614918708801,1.5144497156143188,0.9865632653236389,1.1746989488601685,1.424588680267334,0.7717944979667664,2.9314815998077393,1.9102983474731445,doublewell_param_shock,fern_nll,1.0
doublewell_param_shock_ode2,fern,192,336,42,147.26758813858032,4.637397289276123,1.7280484437942505,3.8760812282562256,0.5156811475753784,1.4749113321304321,8.344534873962402,7.074694633483887,doublewell_param_shock,fern_nll,2.0
doublewell_switch_ode0,fern,192,336,42,165.89609503746033,0.6075578927993774,0.6110215783119202,0.5074942708015442,101.38192749023438,0.48720598220825195,2.895822048187256,0.17629417777061462,doublewell_switch,fern_nll,0.0
doublewell_switch_ode0,fern,192,336,42,168.61024117469788,0.6627599000930786,0.6579049825668335,0.5312792062759399,45.59927749633789,0.505631685256958,2.172365665435791,0.42323431372642517,doublewell_switch,fern_nll,0.25
doublewell_switch_ode0,fern,192,336,42,163.23201942443848,1.5893237590789795,1.0052424669265747,1.2202351093292236,2.0035696029663086,0.7898553609848022,3.0597381591796875,2.0317933559417725,doublewell_switch,fern_nll,1.0
doublewell_switch_ode0,fern,192,336,42,154.64341640472412,4.598723888397217,1.7131940126419067,3.890660285949707,0.6257400512695312,1.4625108242034912,8.27248477935791,7.006671905517578,doublewell_switch,fern_nll,2.0
doublewell_switch_ode1,fern,192,336,42,163.51773524284363,0.49538469314575195,0.560238242149353,0.37168681621551514,92.45856475830078,0.4385773837566376,2.3597772121429443,-0.0019770804792642593,doublewell_switch,fern_nll,0.0
doublewell_switch_ode1,fern,192,336,42,115.09663844108582,0.6019558906555176,0.6355036497116089,0.5170140862464905,31.333967208862305,0.4747754633426666,1.7616504430770874,0.3495541512966156,doublewell_switch,fern_nll,0.25
doublewell_switch_ode1,fern,192,336,42,142.8344440460205,1.5748809576034546,1.0014358758926392,1.192831039428711,2.057434558868408,0.786620557308197,3.0378313064575195,2.0113728046417236,doublewell_switch,fern_nll,1.0
doublewell_switch_ode1,fern,192,336,42,104.79242730140686,4.911224842071533,1.7738898992538452,4.028341770172119,0.6086230874061584,1.5206892490386963,8.812834739685059,7.5310821533203125,doublewell_switch,fern_nll,2.0
doublewell_switch_ode2,fern,192,336,42,174.36060190200806,0.5026540160179138,0.5660644173622131,0.39586731791496277,87.14085388183594,0.43861767649650574,2.1648166179656982,-0.004196076188236475,doublewell_switch,fern_nll,0.0
doublewell_switch_ode2,fern,192,336,42,164.57993817329407,0.5626472234725952,0.596976101398468,0.431081086397171,35.508155822753906,0.4521409571170807,1.7468770742416382,0.2570960819721222,doublewell_switch,fern_nll,0.25
doublewell_switch_ode2,fern,192,336,42,97.46329379081726,1.5643049478530884,0.998012900352478,1.243519902229309,1.5253673791885376,0.7838910818099976,3.0300474166870117,2.0014562606811523,doublewell_switch,fern_nll,1.0
doublewell_switch_ode2,fern,192,336,42,228.8869936466217,4.506826400756836,1.6862061023712158,3.7737717628479004,0.5407437682151794,1.4379271268844604,8.1091947555542,6.856803894042969,doublewell_switch,fern_nll,2.0
rossler_ode0,fern,192,336,42,1776.0052905082703,0.005814421456307173,0.05382990092039108,0.00427186768501997,192.0,0.055187009274959564,-0.7107178568840027,-2.1876702308654785,rossler,fern_nll,0.0
rossler_ode0_nr1,fern,192,336,42,1868.1781203746796,0.005814421456307173,0.05382990092039108,0.00427186768501997,192.0,0.055187009274959564,-0.7107178568840027,-2.1876702308654785,rossler,fern_nll,0.0
rossler_ode0_nr2,fern,192,336,42,1827.0772814750671,0.005814421456307173,0.05382990092039108,0.00427186768501997,192.0,0.055187009274959564,-0.7107178568840027,-2.1876702308654785,rossler,fern_nll,0.0
rossler_ode0,fern,192,336,42,712.0122447013855,0.8421741127967834,0.4416423738002777,0.7151650786399841,184.40220642089844,0.3499439060688019,1.9958230257034302,0.6988493204116821,rossler,fern_nll,0.25
rossler_ode0_nr1,fern,192,336,42,948.6257200241089,0.9100045561790466,0.40535908937454224,0.7918995022773743,185.4819793701172,0.32481735944747925,2.3552935123443604,0.7473216652870178,rossler,fern_nll,0.25
